1
255 92 300000
2 67 195 81
181 85 192 85
213 55 238 77
208 54 247 79
114 26 170 67
28 71 225 81
32 54 54 67
79 48 110 75
15 54 17 61
10 25 194 71
83 20 235 32
12 8 251 44
103 40 125 86
143 29 165 63
82 11 243 27
165 32 197 57
73 13 155 17
46 35 95 75
108 75 208 75
87 30 244 33
20 14 87 29
50 57 253 90
169 79 169 86
207 53 222 67
14 72 87 78
122 91 184 91
155 33 172 53
116 3 254 60
170 49 200 55
205 90 226 90
47 65 72 86
64 53 252 70
225 88 239 90
169 88 220 90
251 50 253 73
9 71 18 75
127 64 150 65
145 77 186 78
147 58 245 92
81 4 241 72
110 45 255 51
94 10 172 57
80 37 104 67
156 20 221 79
13 92 66 92
143 37 166 72
41 41 46 46
60 75 176 77
125 6 207 21
155 54 213 64
124 67 254 86
30 16 225 57
114 45 162 86
190 51 222 52
101 35 211 63
161 62 166 70
128 56 183 89
202 44 207 62
137 15 147 90
95 67 150 84
111 86 239 92
247 87 247 92
101 64 219 92
130 48 217 55
10 83 234 92
55 16 187 79
163 38 192 71
148 58 206 65
235 60 241 87
250 32 252 71
103 63 156 79
73 86 163 88
83 42 185 55
145 92 189 92
29 51 202 88
215 52 235 70
240 62 247 63
106 78 190 86
205 4 221 32
64 67 85 90
183 45 188 63
110 59 173 82
106 51 166 67
165 35 210 70
172 37 226 40
203 31 246 44
32 1 126 60
23 36 92 53
54 25 87 77
198 47 237 62
36 70 157 86
97 76 209 89
111 28 190 42
9 28 162 62
136 63 194 64
96 48 158 55
243 26 247 69
245 64 251 77
7 19 243 85
205 17 254 47
177 4 228 36
114 8 190 32
86 85 133 92
147 64 233 92
184 35 233 76
188 84 254 88
117 46 233 80
150 62 204 62
12 1 67 88
57 9 81 49
125 53 146 79
140 72 162 79
239 13 248 45
191 28 229 31
241 13 241 79
72 58 248 62
60 58 181 59
242 83 255 84
146 67 188 74
139 55 195 88
169 64 222 89
136 3 232 27
166 89 172 91
84 18 223 20
164 19 180 40
155 19 160 85
209 64 220 83
177 10 245 28
26 79 105 91
1 30 207 72
97 53 142 71
16 30 209 73
202 42 242 63
17 1 58 68
27 92 209 92
8 36 204 82
153 78 216 87
123 56 237 56
17 83 163 86
180 53 229 53
89 8 97 15
21 24 186 82
111 78 119 79
122 2 143 37
34 86 167 86
43 35 118 84
76 27 99 33
223 75 230 84
29 84 47 87
79 81 162 86
246 3 249 32
215 91 238 92
85 55 216 59
42 43 152 43
74 58 165 89
19 82 161 92
8 68 27 82
201 39 204 67
123 34 216 73
209 12 227 59
245 32 246 70
115 61 190 78
233 32 246 35
51 67 102 67
177 88 252 88
113 83 145 86
237 52 237 56
130 80 215 86
237 70 237 73
102 65 157 81
42 84 252 84
10 89 215 92
209 45 244 70
26 88 80 89
94 80 198 86
100 89 237 91
198 56 240 90
74 58 86 88
50 63 251 65
70 57 84 88
72 91 82 92
249 19 252 72
134 7 215 30
86 40 154 43
50 83 82 85
69 89 243 90
73 52 179 73
246 22 253 45
148 57 151 88
44 36 230 81
191 49 224 68
154 27 254 82
2 62 129 87
228 61 251 72
92 32 229 43
19 42 190 81
95 12 214 53
45 34 192 46
137 73 158 90
91 62 140 69
176 78 255 87
25 15 103 77
252 78 254 80
242 65 243 68
239 27 244 87
97 14 131 31
6 12 19 31
162 60 204 88
216 7 216 85
54 2 239 6
95 27 106 86
213 8 229 81
182 71 196 84
141 79 208 91
252 33 252 47
224 90 248 91
58 48 131 70
116 11 244 71
220 71 229 92
90 43 131 83
195 71 203 75
93 38 159 87
88 1 108 70
103 60 198 80
56 54 242 89
240 10 254 17
114 37 169 38
136 77 232 87
205 4 221 8
95 50 209 83
167 15 207 54
110 77 157 88
219 20 219 50
171 70 240 92
192 5 227 91
72 47 111 59
174 6 220 66
131 56 162 88
30 72 176 79
18 89 143 89
81 7 229 81
137 32 192 62
140 72 200 83
231 84 232 88
227 16 237 23
163 23 215 60
19 79 139 86
209 89 223 91
103 2 109 62
209 83 254 90
64 66 232 68
23 25 104 67
16 70 175 72
247 8 250 27
127 58 138 64
143 5 223 7
19 90 108 91
50 72 176 79
102 47 163 68
109 10 255 22
247 26 248 55
159 3 190 48
3 62 221 73
147 4 222 13
234 39 236 45
185 26 194 76
176 77 213 88
99 38 141 48
134 65 209 67
29 11 63 90
98 29 181 48
138 39 166 58
43 32 208 82
94 18 199 85
117 15 156 56
86 73 240 90
201 70 225 80
213 49 235 77
2 39 54 79
3 57 224 61
180 29 244 50
118 84 199 92
43 39 109 87
136 32 207 56
114 47 168 87
149 20 172 22
110 35 135 46
110 3 138 10
11 55 129 74
192 43 251 69
113 13 129 35
157 87 213 92
87 68 100 74
11 73 212 90
86 14 188 80
39 17 212 68
85 18 130 87
220 63 228 70
135 35 227 85
159 85 163 85
242 14 250 48
70 59 102 67
11 84 138 87
103 6 221 85
223 73 255 77
77 50 138 87
210 6 238 41
124 71 177 74
224 57 224 74
63 27 152 76
133 64 141 71
78 43 98 62
155 13 248 88
125 25 138 49
218 65 238 90
6 53 142 73
229 68 246 87
81 53 145 78
96 54 156 90
95 43 96 56
27 34 67 52
183 11 247 19
78 13 116 34
112 22 229 47
229 32 249 46
184 40 217 59
89 23 127 41
1 10 191 56
22 59 253 88
173 54 184 77
125 45 153 82
86 10 151 86
235 88 240 90
153 57 166 75
84 3 194 79
129 70 176 70
233 16 254 26
242 30 247 75
221 31 224 49
51 34 222 87
165 29 255 52
248 47 254 65
87 61 233 75
141 49 185 79
149 38 180 66
255 56 255 66
7 35 108 70
107 74 240 79
100 50 147 61
194 11 217 82
14 54 186 68
57 35 245 69
61 1 230 37
49 48 51 53
182 62 232 66
66 45 94 88
158 76 224 84
195 84 241 84
71 89 166 91
124 49 133 79
168 28 238 81
72 9 112 58
206 60 234 62
96 60 105 86
237 3 245 82
48 31 85 70
117 63 218 72
50 3 114 59
67 36 75 54
103 91 212 92
82 88 117 90
85 58 112 66
16 86 89 88
29 87 86 88
49 92 112 92
27 64 109 79
157 5 230 34
24 64 74 80
106 11 224 53
18 84 56 92
103 45 186 59
133 57 164 84
178 79 249 92
88 28 216 70
107 25 165 62
199 42 212 56
228 20 250 36
234 86 250 91
121 70 140 91
199 1 243 60
90 88 214 89
115 29 122 42
132 27 147 48
196 61 227 75
51 80 173 92
26 39 194 40
112 26 214 55
165 22 219 66
171 65 233 78
213 84 229 84
100 17 140 24
69 62 203 79
104 39 156 89
188 39 211 85
26 80 31 91
70 37 191 69
203 47 226 80
208 44 217 53
44 56 72 89
96 44 232 71
63 84 213 85
211 55 226 57
232 46 233 79
179 65 210 91
135 37 142 51
22 27 215 74
31 7 211 50
147 64 160 71
147 71 156 78
197 7 206 78
241 36 247 72
219 47 220 88
204 20 211 65
190 29 204 39
164 15 233 67
63 22 254 83
229 13 233 46
219 26 224 37
238 43 241 86
19 26 19 83
173 67 175 81
69 11 243 87
201 43 208 64
166 13 201 47
92 82 123 92
66 25 155 57
63 35 161 42
141 59 209 65
226 20 235 47
9 69 62 77
188 16 245 32
115 54 219 56
63 53 152 87
139 68 219 85
226 43 255 84
102 30 145 69
198 3 200 28
77 2 133 14
83 13 90 22
175 4 254 70
123 91 236 92
45 89 72 89
129 28 182 85
29 18 86 61
87 37 117 69
58 23 174 30
131 59 247 79
79 56 83 87
161 87 242 88
127 87 187 87
227 45 235 69
18 24 32 62
56 70 114 74
90 63 229 84
107 90 132 92
36 18 63 79
230 78 234 82
65 20 165 43
120 3 152 60
141 59 193 73
48 85 102 90
29 51 129 86
73 29 185 31
232 13 234 73
36 56 48 80
146 1 190 86
207 89 227 89
57 40 142 60
42 39 156 59
86 34 183 55
129 37 206 46
55 25 149 26
86 64 118 82
249 29 249 40
34 20 90 54
162 2 196 59
180 32 205 92
189 89 233 90
28 77 164 92
17 67 171 86
30 43 106 64
96 9 251 19
199 84 255 91
189 10 232 32
131 42 180 85
237 88 249 91
68 42 103 44
90 39 133 77
192 28 226 52
19 12 71 35
63 68 206 90
96 91 127 91
109 12 151 55
103 38 106 46
75 87 85 91
92 52 95 81
39 16 244 48
194 43 232 60
42 84 83 86
68 59 233 77
235 36 236 39
140 4 147 42
163 53 170 59
66 31 132 34
222 82 253 86
134 73 189 77
205 6 215 62
136 71 160 83
31 79 52 85
165 33 175 73
229 43 248 44
157 36 186 38
23 15 63 64
214 87 240 91
150 75 237 82
175 41 197 45
202 60 252 89
92 30 96 78
205 75 246 82
97 89 173 92
166 6 239 42
17 49 78 55
15 22 150 29
31 61 89 69
83 75 115 78
66 34 241 72
60 90 237 91
231 1 235 64
132 8 184 34
119 58 136 60
234 5 240 23
162 66 217 84
70 86 182 90
200 6 224 21
179 54 206 65
107 2 201 35
79 21 160 33
46 27 192 82
128 52 168 64
103 5 135 37
81 71 252 71
73 10 245 72
92 27 187 45
142 17 157 82
71 4 91 21
190 79 227 92
199 88 202 92
128 6 149 44
70 30 87 73
126 13 224 59
3 72 24 89
84 41 123 72
207 90 216 91
150 43 170 43
97 41 163 58
228 40 249 87
30 92 219 92
7 11 134 42
22 90 201 90
37 83 95 83
244 78 253 89
9 50 184 54
12 42 232 55
109 59 192 75
242 65 251 89
230 89 254 90
171 1 234 84
205 10 246 28
97 49 220 71
72 77 88 85
176 76 224 88
90 92 242 92
131 84 202 90
133 7 249 47
249 4 250 92
254 7 254 77
102 70 147 87
240 80 250 81
214 6 253 17
76 7 224 63
178 13 236 23
46 40 220 86
92 11 135 21
76 73 151 77
248 62 253 82
125 58 207 76
174 85 188 88
75 7 174 48
7 14 214 15
16 49 141 69
212 3 255 91
46 49 250 51
50 57 206 91
81 84 218 84
136 64 205 64
191 17 240 68
44 48 79 55
190 74 215 88
133 84 189 89
129 35 184 41
206 58 245 72
177 89 202 89
218 20 238 86
122 4 187 30
112 10 160 43
177 90 255 91
183 57 191 83
7 2 129 47
175 29 246 46
70 78 184 86
190 81 251 84
44 85 248 92
198 86 217 86
68 85 218 85
213 83 226 84
99 59 210 74
218 16 249 43
31 82 218 87
115 70 247 73
235 36 250 90
198 24 221 61
55 28 246 34
112 65 154 75
29 33 105 90
246 80 247 82
171 70 239 77
89 63 100 87
52 28 217 80
171 21 204 83
43 23 173 71
187 4 188 48
161 57 217 81
209 32 237 59
66 65 120 69
119 78 200 79
225 29 246 79
82 1 202 31
42 1 226 88
143 88 251 90
194 58 226 90
221 34 224 86
155 44 220 48
119 28 134 34
58 52 183 86
191 47 247 89
157 43 182 65
230 80 233 90
178 85 213 89
173 10 249 84
85 11 161 13
40 64 101 91
97 29 247 92
25 16 82 22
86 44 244 70
227 85 244 88
139 30 244 52
124 73 204 74
113 41 127 42
121 16 203 55
98 39 162 90
43 59 149 91
134 17 231 92
199 14 206 59
73 56 140 66
164 47 251 78
84 55 197 89
2 56 32 63
171 39 241 71
226 73 255 80
198 50 250 63
251 56 251 65
202 63 214 64
169 83 208 84
73 60 213 71
252 25 253 46
143 89 212 89
85 65 162 70
146 86 152 92
140 54 172 86
214 40 253 90
174 45 176 76
250 17 254 62
70 59 78 88
69 44 139 87
183 48 237 78
72 54 79 81
168 53 206 57
20 19 253 21
125 79 220 85
124 17 249 19
225 81 238 92
229 64 248 86
101 38 196 65
171 45 225 72
36 88 100 91
16 28 116 36
1 87 172 88
195 61 212 66
115 8 169 26
239 46 250 60
221 86 241 92
227 39 248 52
119 60 247 92
58 13 253 54
77 53 166 73
40 21 200 61
71 47 154 87
199 66 213 70
194 33 254 38
252 18 253 24
190 89 224 89
231 89 255 90
21 90 135 90
105 56 191 63
201 15 238 44
49 75 107 88
219 30 245 90
229 60 249 66
56 38 251 84
208 90 221 92
50 5 74 65
166 62 224 88
13 83 254 87
88 66 234 78
20 66 193 92
241 61 255 65
74 52 156 68
17 44 192 54
34 43 36 81
231 73 235 77
71 92 157 92
75 90 203 90
249 40 249 85
216 66 232 69
250 78 251 92
170 57 191 74
4 36 218 46
148 82 196 87
209 54 239 72
251 72 252 92
192 25 247 35
54 71 129 83
246 9 250 43
128 42 229 79
157 35 169 67
250 40 255 68
43 16 210 50
64 12 141 42
63 36 187 41
137 35 217 81
14 32 166 43
218 22 233 72
87 21 150 84
203 73 213 89
244 74 255 84
211 41 252 46
240 18 248 50
53 86 69 91
52 48 166 58
103 86 131 92
64 69 112 85
156 45 168 86
117 42 203 86
212 75 249 89
115 87 172 90
130 26 212 49
1 68 241 73
53 21 212 36
6 76 74 90
103 49 154 88
149 69 178 80
69 88 183 92
11 10 54 14
26 64 178 82
177 33 180 43
58 49 172 74
255 50 255 77
9 33 31 56
100 38 195 89
139 17 171 72
29 36 128 67
14 59 94 71
163 87 185 92
204 70 251 71
165 18 211 24
67 20 211 69
20 47 74 53
115 61 142 69
54 48 210 85
79 77 202 82
92 69 193 72
43 41 242 42
149 72 187 81
186 91 231 91
120 16 224 51
41 73 55 73
131 27 194 84
183 42 223 52
132 40 228 66
117 54 132 70
14 5 191 42
249 77 252 91
13 54 152 78
191 92 196 92
217 81 254 92
129 63 132 71
229 79 243 87
47 12 84 65
118 25 125 53
109 23 200 52
112 89 152 90
46 72 174 81
47 13 250 82
76 28 165 40
114 11 178 18
64 48 234 86
87 55 185 71
231 60 252 72
98 84 160 92
79 13 139 72
30 63 53 71
27 20 250 91
60 92 153 92
119 73 140 76
92 20 189 57
156 57 234 62
75 84 110 89
223 80 232 87
229 44 244 89
85 60 133 82
125 61 173 67
3 44 57 64
87 52 246 88
167 78 204 82
51 76 64 80
4 65 103 82
232 20 243 56
198 71 204 83
16 46 34 46
120 4 120 17
188 54 198 78
131 90 148 91
200 37 214 52
192 79 248 88
47 58 98 70
158 6 203 44
243 72 243 77
207 26 226 63
165 26 169 67
20 29 55 53
220 54 247 56
2 79 48 89
98 31 139 92
112 88 119 88
78 15 236 67
102 86 237 90
206 5 221 72
157 56 224 84
230 52 238 68
21 60 241 78
209 14 217 83
51 18 158 84
230 14 248 52
250 79 255 84
153 47 172 88
200 7 243 64
128 35 129 50
171 79 182 91
112 12 171 62
194 44 240 44
168 62 225 68
50 6 81 73
138 87 254 90
164 38 209 73
102 58 187 69
221 20 223 38
213 49 231 70
95 57 241 84
163 62 235 67
150 78 181 90
75 22 186 64
161 51 208 84
251 41 252 55
165 22 172 63
188 28 214 36
170 86 255 92
140 91 144 92
17 44 101 83
39 11 191 70
149 45 245 90
70 66 94 86
224 9 242 82
130 13 223 65
45 14 97 68
187 77 215 82
116 31 164 40
17 35 247 39
57 70 162 71
239 14 244 36
82 39 148 75
172 41 253 79
81 62 227 72
170 59 234 60
117 88 249 88
155 33 172 50
170 7 195 76
197 36 235 85
32 41 235 48
95 60 129 64
104 17 168 74
123 50 208 79
171 15 173 61
2 11 149 34
234 55 247 76
185 38 197 78
212 54 255 67
103 69 224 92
35 60 169 92
240 37 247 90
18 35 176 81
31 82 45 90
95 26 239 70
99 40 223 62
95 75 126 76
178 25 184 83
155 19 165 62
243 41 252 81
12 80 124 87
117 16 232 70
82 22 100 74
122 67 209 71
17 91 246 91
212 60 251 90
203 37 209 59
15 89 53 91
219 64 221 87
169 61 245 62
111 1 221 46
222 39 230 62
160 64 185 79
132 77 192 86
147 10 192 25
116 42 255 49
170 76 237 88
3 68 163 85
73 87 215 88
16 19 17 30
169 30 184 73
156 92 239 92
181 31 245 47
244 87 255 91
132 55 144 83
112 50 210 53
213 49 234 50
182 44 210 61
168 86 220 88
27 50 144 66
217 36 235 63
11 81 87 85
217 39 228 64
2 66 104 90
236 66 245 71
154 17 154 29
128 64 233 66
164 83 243 92
12 16 39 54
209 36 216 68
127 80 154 86
236 45 253 67
205 7 215 24
43 75 241 92
121 35 244 36
254 82 255 92
186 40 227 79
136 75 212 89
45 59 242 76
10 11 133 19
152 44 167 75
121 69 123 86
188 40 225 46
150 4 176 5
185 64 220 78
19 82 177 89
255 52 255 54
85 67 134 77
209 40 221 43
187 68 249 85
87 7 146 33
119 40 227 70
192 23 200 26
122 83 202 90
247 38 248 46
241 62 243 68
228 68 229 83
203 8 245 83
189 90 242 90
214 79 217 87
106 5 137 69
233 92 235 92
121 41 165 54
34 79 239 84
158 75 160 84
166 28 181 89
69 60 225 65
10 61 119 77
56 3 240 81
177 81 202 81
78 51 240 83
207 67 230 90
175 22 208 63
239 56 248 83
